año,conglome,vivienda,hogar,ubigeop,codperso,mhogar,sexo,edad,estciv,reljh,ocu500,ocupinf,emplpsec,htop,htos,gnestudios,fac500a,ubidpto,htsemps,hocios,salanual,salsem,dominio,estrato,pobreza,estrsocial,zona,inghogpc,gashogpc,inghogpcs,gashogpcs,ln_salsem,ln_inghogpcs,ln_gashogpcs
2022,008625,046,11,190109,04,1,2,34,5,3,1,1,1,2,NA,6,254.853240966797,19,2,166,887,17.010944922511,5,3,2,5,Urbana,5000.36015625,2008.01328125,95.8972392454198,38.5098120980997,2.83385695586493,4.56327719362746,3.65091306851343
2022,008625,057,11,190109,01,1,1,73,2,1,1,1,1,0,NA,3,120.963554382324,19,0,168,962.857177734375,18.4657389162163,5,3,3,5,Urbana,7232.7470703125,3194.490234375,138.710103778511,61.2641459215924,2.91591706462903,4.93238617094384,4.11519477658103
2022,008631,004,11,190101,01,1,1,39,1,1,1,1,1,48,NA,6,184.917205810547,19,48,120,10768.7978515625,206.524720557593,5,3,3,5,Urbana,3458.69140625,4308.624609375,66.3310135464272,82.6310889761597,5.33042011737947,4.19465756378296,4.41438598957046
2022,008631,014,11,190101,02,1,1,25,6,3,1,2,NA,45,10,10,254.724884033203,19,55,113,26792,513.818755765406,5,3,3,5,Urbana,20229.208984375,15259.9892578125,387.957113708194,292.657087691949,6.24187058802939,5.9608948018342804,5.67900157444942
2022,008631,020,11,190101,01,1,1,60,2,1,1,2,NA,40,NA,10,207.647735595703,19,40,128,26182,502.120135243724,5,3,3,5,Urbana,16570.76953125,15556.134765625,317.795318849738,298.336585913423,6.21883940429539,5.76140752413176,5.69822233205041
2022,008631,028,11,190101,01,1,1,41,1,1,1,1,1,54,NA,3,235.18977355957,19,54,114,6874,131.830028632853,5,3,3,5,Urbana,4693.006640625,4381.929296875,90.002793105581,84.0369311425908,4.88151343096513,4.49984070435516,4.43125635868215
2022,008631,028,11,190101,02,1,2,35,1,2,1,1,1,11,NA,4,144.088760375977,19,11,157,1540,29.5342223006392,5,3,3,5,Urbana,4693.006640625,4381.929296875,90.002793105581,84.0369311425908,3.38554966896303,4.49984070435516,4.43125635868215
2022,008631,028,11,190101,05,1,1,19,1,4,1,1,1,54,NA,6,136.508682250977,19,54,114,12618,241.988842200952,5,3,3,5,Urbana,4693.006640625,4381.929296875,90.002793105581,84.0369311425908,5.48889161848611,4.49984070435516,4.43125635868215
2022,008631,041,11,190101,02,1,1,18,6,3,1,1,1,12,NA,9,136.508682250977,19,12,156,1061,20.3479284811547,5,3,2,5,Urbana,1914.915234375,1200.2609375,36.724371570722,23.0186839914926,3.01297911216934,3.60344061015647,3.13630623360974
2022,008631,051,11,190101,03,1,1,33,1,3,1,2,NA,54,NA,8,269.352569580078,19,54,114,46080,883.725301047698,5,3,3,5,Urbana,9460.37890625,5299.83203125,181.431775107445,101.640530757783,6.78414626892512,5.20087968831395,4.62144238037637
2022,008631,059,11,190101,01,1,1,32,6,1,1,1,1,48,NA,5,269.352569580078,19,48,120,16585,318.068231724741,5,3,3,5,Urbana,18854.47265625,13741.287109375,361.592329085072,263.53131700337,5.7622659249365,5.8905174144796,5.57417221102697
2022,008652,011,11,190202,01,1,1,34,2,1,1,1,1,58,NA,5,352.700012207031,19,58,110,2091,40.1013369030108,5,5,1,5,Urbana,1150.26350911458,1115.09554036458,22.0598299886386,21.3853763477786,3.69140967298399,3.09375830702497,3.06270734020433
2022,008652,034,11,190202,01,1,2,62,6,1,1,2,NA,0,NA,8,216.455444335938,19,0,168,30571,586.292668800546,5,5,3,5,Urbana,23323.068359375,12797.1103515625,447.291354323887,245.423832421336,6.37381909971417,6.10321018166691,5.50298664419266
2022,008652,070,11,190202,01,1,2,75,3,1,1,1,1,7,NA,3,159.275039672852,19,7,161,367,7.03835037943804,5,5,2,5,Urbana,3819.44750976562,1864.57751464844,73.2496180643122,35.7589914379223,1.95137382160992,4.2938730337445,3.57680174627006
2022,008652,081,11,190202,01,1,1,31,2,1,1,1,1,75,NA,6,352.700012207031,19,75,93,15341.544921875,294.221167634999,5,5,1,5,Urbana,3885.87280273438,1422.14953613281,74.5235267454318,27.2740782759074,5.68433175539212,4.31111487077339,3.3059367374142
2022,008652,081,11,190202,02,1,2,31,2,2,1,2,NA,50,14,4,270.921539306641,19,64,104,12596,241.566924739514,5,5,1,5,Urbana,3885.87280273438,1422.14953613281,74.5235267454318,27.2740782759074,5.48714655577627,4.31111487077339,3.3059367374142
2022,008652,081,11,190202,07,1,2,21,5,7,1,1,1,9,5,5,211.949127197266,19,14,154,1758,33.7150407821583,5,5,1,5,Urbana,3885.87280273438,1422.14953613281,74.5235267454318,27.2740782759074,3.51794405180047,4.31111487077339,3.3059367374142
2022,008652,101,11,190202,01,1,1,78,2,1,1,1,1,43,NA,5,104.628677368164,19,43,125,1936,37.1287366065179,5,5,3,5,Urbana,5041.9658203125,1666.28100585938,96.6951554346325,31.9560478197295,3.61439124139187,4.57156330228629,3.46436145304281
2022,008653,006,11,190202,01,1,2,53,5,1,1,1,1,29,7,3,139.698593139648,19,36,132,6920.77783203125,132.727137002952,5,5,1,5,Urbana,3795.0625,1342.38020833333,72.7819607271556,25.7442568083734,4.88829541932299,4.28746813228768,3.24821156566537
2022,008653,019,11,190202,01,1,1,58,1,1,1,1,1,48,21,3,192.936950683594,19,69,99,28568.1000976562,547.880921422787,5,5,2,5,Urbana,10754.7356770833,1364.41284179688,206.255035241295,26.1668001165427,6.30605796666193,5.32911343820792,3.26449143610251
2022,008653,055,11,190202,01,1,2,69,3,1,1,1,1,0,NA,1,116.830032348633,19,0,168,1079,20.6931336768764,5,5,3,5,Urbana,8829.365234375,907.878662109375,169.330152990628,17.411357291393,3.02980193881348,5.13185037718259,2.85712271118896
2022,008653,066,11,190202,01,1,1,69,2,1,1,1,1,42,NA,3,135.079071044922,19,42,126,2134,40.9259937594572,5,5,3,5,Urbana,3026.224609375,3111.36848958333,58.0371365876275,59.6700315782846,3.71176540541705,4.06108309164438,4.08882991074928
2022,008653,078,11,190202,01,1,1,50,2,1,1,1,1,63,NA,5,194.929748535156,19,63,105,4084,78.3232232959809,5,5,2,5,Urbana,1780.9724609375,1854.6873046875,34.1556081640549,35.5693163342948,4.36084415283991,3.53092679402894,3.57148336548594
2022,008658,013,11,190103,01,1,1,55,1,1,1,1,1,52,NA,3,400.567443847656,19,52,116,2129,40.8301034273123,5,5,2,5,Urbana,4842.99641927083,1582.79182942708,92.8793070441198,30.3548868480097,3.70941963844883,4.53130087659651,3.41295752095264
2022,008658,013,11,190103,02,1,2,48,1,2,1,1,2,48,8,3,315.071350097656,19,56,112,10377,199.010795333593,5,5,2,5,Urbana,4842.99641927083,1582.79182942708,92.8793070441198,30.3548868480097,5.29335907116063,4.53130087659651,3.41295752095264
2022,008658,024,11,190103,01,1,1,50,1,1,1,1,1,19,48,4,404.704833984375,19,67,101,4923,94.4136210299005,5,5,3,5,Urbana,6142.84635416667,4960.35611979167,117.807915443266,95.1300391767943,4.54768535331355,4.76905546287575,4.55524478904204
2022,008658,024,11,190103,03,1,1,24,6,3,1,1,1,48,NA,6,562.727478027344,19,48,120,10480,200.986136175778,5,5,3,5,Urbana,6142.84635416667,4960.35611979167,117.807915443266,95.1300391767943,5.30323593143038,4.76905546287575,4.55524478904204
2022,008658,036,11,190103,01,1,1,48,1,1,1,1,1,18,NA,4,500.869476318359,19,18,150,5005,95.9862224770774,5,5,2,5,Urbana,8725.6845703125,3052.60009765625,167.341758327836,58.5429674539822,4.56420466530467,5.1200381783289,4.06976097102754
2022,008658,036,11,190103,03,1,1,25,6,3,1,2,NA,84,NA,8,682.121337890625,19,84,84,32030,614.273467720438,5,5,2,5,Urbana,8725.6845703125,3052.60009765625,167.341758327836,58.5429674539822,6.42044021615856,5.1200381783289,4.06976097102754
2022,008658,036,11,190103,05,1,1,20,6,3,1,1,2,48,NA,6,562.727478027344,19,48,120,16572,317.818916861164,5,5,2,5,Urbana,8725.6845703125,3052.60009765625,167.341758327836,58.5429674539822,5.76148177675264,5.1200381783289,4.06976097102754
2022,008658,036,11,190103,07,1,2,28,5,3,1,1,2,48,NA,8,499.117095947266,19,48,120,10377,199.010795333593,5,5,2,5,Urbana,8725.6845703125,3052.60009765625,167.341758327836,58.5429674539822,5.29335907116063,5.1200381783289,4.06976097102754
2022,008658,047,11,190103,01,1,2,85,3,1,1,1,1,35,NA,1,141.708999633789,19,35,133,405,7.76711690373953,5,5,3,5,Urbana,7513.6767578125,2556.3974609375,144.09779198726,49.0267603247518,2.04989904066189,4.9704921801071,3.89236627811298
2022,008658,080,11,190103,01,1,1,57,1,1,1,1,1,49,35,8,400.567443847656,19,84,84,9059,173.734103780189,5,5,2,5,Urbana,3323.45535714286,2023.77566964286,63.7374476130568,38.8121042297773,5.15752599122464,4.1547722644638,3.65873216266335
2022,008658,080,11,190103,03,1,2,21,6,3,1,1,2,40,NA,8,433.448547363281,19,40,128,6536,125.347842179856,5,5,2,5,Urbana,3323.45535714286,2023.77566964286,63.7374476130568,38.8121042297773,4.83109261009519,4.1547722644638,3.65873216266335
2022,008678,005,11,190107,01,1,1,46,1,1,1,1,1,30,NA,5,352.305358886719,19,30,138,8952,171.682050672287,5,5,3,5,Urbana,3361.63647460938,3283.51806640625,64.4696876201626,62.9715275983164,5.14564422354711,4.16619515395888,4.1426826813507
2022,008678,020,11,190107,01,1,1,35,2,1,1,1,1,54,NA,3,348.307037353516,19,54,114,11994,230.021728749264,5,5,2,5,Urbana,3149.74375,2792.8669921875,60.405994871785,53.5617887034956,5.43817377728381,4.10108835285965,3.98083591652178
2022,008678,030,11,190107,01,1,1,28,1,1,1,1,1,44,NA,6,479.795654296875,19,44,124,7173,137.56427049512,5,5,3,5,Urbana,4464.8125,4386.05615234375,85.6264707179693,84.1160762509134,4.92409122968178,4.44999447270313,4.4321977050831904
2022,008678,041,11,190107,01,1,2,47,5,1,1,1,1,12,3,8,221.617263793945,19,15,153,3420.66674804688,65.6017741254682,5,5,2,5,Urbana,4942.2509765625,1695.67419433594,94.782817537239,32.5197523408928,4.1836027401799,4.5515881432261,3.48184766905691
2022,008678,075,11,190107,01,1,1,35,2,1,1,1,1,7,45,3,348.307037353516,19,52,116,21403,410.468155779598,5,5,3,5,Urbana,6183.27294921875,4100.96142578125,118.583219368672,78.648510646344,6.01729835165591,4.77561498725014,4.3649886928513
2022,008684,016,11,190301,01,1,2,64,5,1,1,2,NA,70,NA,4,80.478401184082,19,70,98,24448,468.865368055862,7,5,3,5,Urbana,18163.6119791667,8869.63346354167,348.342957126793,170.102419764564,6.1503156655216,5.85318750346435,5.13640072484187
2022,008684,016,11,190301,02,1,2,28,6,3,1,1,2,16,12,10,90.7417907714844,19,28,140,17405,333.79424619651,7,5,3,5,Urbana,18163.6119791667,8869.63346354167,348.342957126793,170.102419764564,5.81052477380089,5.85318750346435,5.13640072484187
2022,008684,026,11,190301,01,1,1,40,2,1,1,1,1,54,NA,8,114.502136230469,19,54,114,15009,287.843599032658,7,5,2,5,Urbana,5123.15559895833,4153.0966796875,98.252218402857,79.6483640090501,5.66241727371167,4.5875378296584,4.37762149639684
2022,008684,039,11,190301,01,1,1,40,1,1,1,1,1,32,NA,4,114.502136230469,19,32,136,10211,195.827236306381,7,5,3,5,Urbana,12826.4375,8488.576171875,245.986270422244,162.794477711731,5.27723282311089,5.50527572308316,5.09248853230351
2022,008684,039,11,190301,02,1,2,40,1,2,1,2,NA,22,NA,10,63.580680847168,19,22,146,15594,299.062767893615,7,5,3,5,Urbana,12826.4375,8488.576171875,245.986270422244,162.794477711731,5.7006534774249,5.50527572308316,5.09248853230351
2022,008684,061,11,190301,01,1,1,74,3,1,1,1,1,48,NA,4,47.810001373291,19,48,120,4108,78.7834968902765,7,5,3,5,Urbana,15429.4166666667,8753.291015625,295.906377793845,167.871196569907,4.3667035446038,5.69004311305643,5.12319699826452
2022,008684,061,11,190301,02,1,1,27,6,3,1,1,1,51,NA,9,124.012802124023,19,51,117,5720,109.698539973803,7,5,3,5,Urbana,15429.4166666667,8753.291015625,295.906377793845,167.871196569907,4.6977360579292,5.69004311305643,5.12319699826452
2022,008684,061,11,190301,03,1,2,25,6,3,1,1,2,45,NA,10,90.7417907714844,19,45,123,20886,400.553095435812,7,5,3,5,Urbana,15429.4166666667,8753.291015625,295.906377793845,167.871196569907,5.99284633059484,5.69004311305643,5.12319699826452
2022,008684,073,11,190301,01,1,1,39,1,1,1,2,NA,16,16,8,90.0269393920898,19,32,136,18565,356.040803254134,7,5,3,5,Urbana,11691.4583333333,4146.248046875,224.219564568394,79.5170204740243,5.87504534016653,5.41262577073977,4.37597109275832
2022,008684,073,11,190301,02,1,2,35,1,2,1,1,2,10,NA,10,70.1496124267578,19,10,158,4153,79.6465098795809,7,5,3,5,Urbana,11691.4583333333,4146.248046875,224.219564568394,79.5170204740243,4.3775982171861,5.41262577073977,4.37597109275832
2022,008684,095,11,190301,01,1,1,57,2,1,1,1,1,54,NA,6,72.8250122070312,19,54,114,1033,19.8109426211431,7,5,2,5,Urbana,8630.97786458333,2709.52652994792,165.525466834091,51.9634797824424,2.98623444267499,5.1091250611307,3.9505411599688
2022,008684,095,11,190301,02,1,2,65,2,2,1,1,1,21,NA,4,44.0980796813965,19,21,147,858,16.4547809960704,7,5,2,5,Urbana,8630.97786458333,2709.52652994792,165.525466834091,51.9634797824424,2.80061607304331,5.1091250611307,3.9505411599688
2022,008684,095,11,190301,03,1,2,35,6,3,1,2,NA,21,NA,10,70.1496124267578,19,21,147,2089,40.0629807701528,7,5,2,5,Urbana,8630.97786458333,2709.52652994792,165.525466834091,51.9634797824424,3.69045273511192,5.1091250611307,3.9505411599688
2022,008684,095,11,190301,04,1,2,24,6,3,1,2,NA,40,NA,8,78.8029479980469,19,40,128,13924,267.035396957208,7,5,2,5,Urbana,8630.97786458333,2709.52652994792,165.525466834091,51.9634797824424,5.58738122248668,5.1091250611307,3.9505411599688
2022,008684,095,11,190301,05,1,2,44,6,3,1,2,NA,40,NA,10,63.580680847168,19,40,128,29620,568.05432762658,7,5,2,5,Urbana,8630.97786458333,2709.52652994792,165.525466834091,51.9634797824424,6.34221706137714,5.1091250611307,3.9505411599688
